name,film,boxoffice
Warren Beatty,3.0,173324269.0
Penny Marshall,4.0,319203191.0
Ted Kotcheff,1.0,125212904.0
Andrei Tarkovsky,1.0,1.0
Yvette Kaplan,1.0,38085778.0
Paul Bolger,1.0,38085778.0
Greg Tiernan,2.0,178838395.0
Stephen Frears,10.0,382961143.0
P.J. Hogan,1.0,299288605.0
Brad Furman,3.0,163466352.0
Terence Young,4.0,284894423.0
David Zucker,6.0,594510792.0
Denis Villeneuve,3.0,213256341.0
Thomas Carter,3.0,197836045.0
Roger Michell,3.0,517610622.0
Luis Llosa,2.0,307248349.0
Melville Shavelson,1.0,1.0
Garth Jennings,1.0,104478416.0
Joel Zwick,2.0,368744045.0
Russell Mulcahy,4.0,202451882.0
David R. Ellis,5.0,405164703.0
Peter Howitt,4.0,266794793.0
John A. Davis,2.0,136117361.0
David Lynch,5.0,84053894.0
Julie Taymor,3.0,61668538.0
Mathieu Kassovitz,2.0,213699932.0
John Gray,1.0,16000000.0
John Schultz,3.0,142906888.0
Sean Penn,2.0,85655142.0
Susan Stroman,1.0,38058335.0
Simon Wincer,4.0,64174290.0
Billy Bob Thornton,2.0,24475417.0
Danny Pang,2.0,42487391.0
Oxide Pang Chun,2.0,42487391.0
George P. Cosmatos,3.0,359060037.0
Oliver Parker,4.0,178613779.0
Lawrence Kasanoff,1.0,73706.0
Ben Affleck,2.0,386350264.0
Brian Gibson,2.0,63054726.0
Ben Sharpsteen,2.0,167620000.0
Hamilton Luske,2.0,167620000.0
Michael Cimino,2.0,53484331.0
Paul McGuigan,3.0,103537436.0
Gus Van Sant,8.0,394850454.0
Roger Kumble,3.0,183939155.0
Burr Steers,4.0,205609973.0
Nick Park,2.0,417287396.0
John Hamburg,3.0,263600373.0
Reginald Hudlin,3.0,100730185.0
Joseph L. Mankiewicz,1.0,71000000.0
Barbra Streisand,3.0,178240027.0
Mark Pellington,3.0,118955692.0
John Glen,5.0,882593674.0
Catherine Hardwicke,6.0,546224052.0
John Herzfeld,2.0,56773434.0
Annabel Jankel,1.0,20915465.0
Rocky Morton,1.0,20915465.0
Julie Anne Robinson,2.0,129572669.0
Seth Rogen,2.0,138383954.0
Evan Goldberg,2.0,138383954.0
Sngmoo Lee,1.0,11087569.0
Jamel Debbouze,1.0,1.0
Gordon Chan,1.0,34268701.0
Asger Leth,1.0,46221189.0
John G. Avildsen,2.0,208050705.0
Anne Fletcher,5.0,685373124.0
Bruce Beresford,4.0,344354306.0
Sam Taylor-Johnson,2.0,571006129.0
Ken Kwapis,4.0,310338941.0
Wes Craven,11.0,769651648.0
Etan Cohen,1.0,111811453.0
Nick Cassavetes,4.0,510344067.0
Nicholas Stoller,5.0,626028443.0
Mark A.Z. Dippé,1.0,87840042.0
Callan Brunker,1.0,74597643.0
Nimród Antal,3.0,157164001.0
Alejandro Agresti,1.0,114830111.0
Peter Hedges,2.0,52598239.0
Paul Weiland,1.0,84601681.0
Colin Strause,2.0,108618102.0
Greg Strause,2.0,108618102.0
Joan Chen,1.0,1.0
Greg Mottola,3.0,236179653.0
Jake Kasdan,4.0,362564490.0
Diane Keaton,1.0,36037909.0
Kelly Makin,1.0,1.0
Stephen Daldry,5.0,319865002.0
Christian Duguay,2.0,41158580.0
Richard Stanley,1.0,49627779.0
Justin Chadwick,2.0,105599970.0
Pat O'Connor,1.0,65754228.0
Frederik Du Chau,2.0,131945022.0
Irwin Winkler,4.0,116548713.0
Joseph Kahn,2.0,46546198.0
Sofia Coppola,4.0,204544482.0
Stephen T. Kay,3.0,86605853.0
Juan Antonio Bayona,2.0,224274123.0
Elaine May,1.0,14375181.0
Dennie Gordon,4.0,45609808.0
Charles Shyer,1.0,13395939.0
Ulu Grosbard,1.0,28121100.0
William Malone,2.0,59748097.0
Malcolm D. Lee,7.0,269832979.0
Jerry Jameson,2.0,2801509.0
Mic Rodgers,1.0,10667893.0
Christian Alvart,2.0,49645327.0
Jean-Marie Poiré,3.0,124800001.0
Marc F. Adler,1.0,1.0
Jason Maurer,1.0,1.0
Geoffrey Sax,2.0,115134289.0
Richard Shepard,3.0,17820756.0
Peter Chan,1.0,1.0
Raymond Yip Wai-Man,1.0,1.0
Sergei Bodrov Jr.,1.0,1.0
Ivan Passer,1.0,1.0
Bong Joon-ho,2.0,175248555.0
Jeff Nathanson,1.0,1.0
S.S. Rajamouli,1.0,100000000.0
Charles S. Dutton,1.0,6614280.0
Jonathan Lynn,4.0,173913247.0
David Carson,1.0,120000000.0
Wong Kar-wai,3.0,105134786.0
Yuefeng Song,1.0,9841578.0
Norman Jewison,5.0,157260584.0
David Mirkin,1.0,57756408.0
Luis Mandoki,2.0,148580016.0
Lee Daniels,2.0,163459134.0
Jeb Stuart,2.0,6482196.0
Steve Miner,5.0,115283259.0
Paul Thomas Anderson,6.0,225131143.0
David Leland,2.0,5410750.0
J Blakeson,1.0,109906372.0
Ryan Coogler,2.0,190953411.0
Kirk Jones,5.0,334629056.0
Ethan Coen,8.0,797215113.0
Jennifer Flackett,1.0,100076342.0
Mark Levin,1.0,100076342.0
Kevin Smith,12.0,245343075.0
Christian Ditter,1.0,112343513.0
Charles Martin Smith,3.0,170973429.0
Fyodor Bondarchuk,1.0,21834845.0
Irvin Kershner,2.0,698400000.0
Steve Pink,3.0,125889597.0
Scott Hicks,5.0,216143971.0
Chris Rock,3.0,38630537.0
Wilson Yip,1.0,156844753.0
Robert Wise,4.0,481247671.0
Kevin Rodney Sullivan,3.0,171658650.0
Kevin Munroe,2.0,100243057.0
Mike Tollin,2.0,71971376.0
Patrick Tatopoulos,1.0,91353501.0
Gary David Goldberg,1.0,58405313.0
Tobe Hooper,5.0,165969536.0
Alan Poul,1.0,77477008.0
Luke Greenfield,4.0,311707109.0
Gil Junger,2.0,53478167.0
Michael Ritchie,3.0,123486287.0
Steven E. de Souza,1.0,99423521.0
Alexandre Aja,4.0,225248318.0
Michael Rymer,2.0,59490564.0
Hugh Wilson,4.0,302861917.0
Mike Hodges,1.0,27107960.0
Scott Mann,1.0,4100000.0
Susanna White,2.0,103176483.0
Chris Carter,1.0,68369434.0
Tommy O'Haver,2.0,47289133.0
Peter Landesman,1.0,50363790.0
Gary Chapman,1.0,19478106.0
Craig Mazin,2.0,25871835.0
Kimble Rendall,1.0,1.0
Peter Yates,1.0,16519460.0
Lasse Hallström,9.0,575400767.0
Jean-Marc Vallée,3.0,135109715.0
Tsui Hark,1.0,1.0
Lexi Alexander,1.0,10089373.0
Ronny Yu,4.0,165580695.0
Bille August,2.0,6317171.0
Moustapha Akkad,1.0,1.0
Jean-Paul Rappeneau,2.0,15000001.0
Joachim Rønning,1.0,10496317.0
Espen Sandberg,1.0,10496317.0
Tony Kaye,3.0,23875153.0
Ken Scott,2.0,65595359.0
Hugh Johnson,1.0,11263966.0
Hayao Miyazaki,4.0,856490376.0
"George Tillman, Jr.",4.0,134909917.0
Rand Ravich,1.0,19598588.0
Hugh Hudson,2.0,58972905.0
Ben Stassen,2.0,71594793.0
Jeremy Degruson,1.0,1.0
Chris Gorak,1.0,64626786.0
Scott Speer,1.0,140470746.0
Joe Charbanic,1.0,1.0
Jonathan Hensleigh,1.0,54700105.0
Danny Cannon,2.0,67612985.0
Boaz Yakin,3.0,221020124.0
Richard Marquand,1.0,572700000.0
Neil Marshall,3.0,86156242.0
David Wain,4.0,312885243.0
Jared Hess,3.0,126316091.0
Rupert Wainwright,1.0,50041732.0
John Luessenhop,2.0,116297640.0
Justin Zackham,1.0,21819348.0
John Gatins,1.0,1.0
Miguel Sapochnik,1.0,18409891.0
Shim Hyung-Rae,2.0,70287404.0
Don Scardino,1.0,27437881.0
Tim Robbins,2.0,39363636.0
Tom Reeve,1.0,1.0
Nanette Burstein,1.0,42045846.0
Ariel Vromen,2.0,16677889.0
